Date,Not indexed,Indexed,Impressions
2026-04-23,,,1
2026-04-24,13,3,3
2026-04-25,13,3,0
2026-04-26,13,3,2
2026-04-27,13,3,10
2026-04-28,13,3,4
2026-04-29,13,3,5
2026-04-30,13,3,16
2026-05-01,13,3,3
2026-05-02,13,3,1
2026-05-03,13,3,1
2026-05-04,13,3,5
2026-05-05,39,4,8
2026-05-06,39,4,9
2026-05-07,39,4,13
2026-05-08,39,4,51
